time,CSX,UNP
1,14.76,29.65
2,14.63,29.52
3,14.62,29.31
4,14.43,28.86
5,14.55,29.53
6,14.93,29.94
7,14.98,29.99
8,14.87,29.72
9,15.59,30.73
10,15.44,30.52
11,15.1,30.43
12,15.19,30.47
13,15.05,29.98
14,14.9,29.61
15,15.04,29.59
16,14.1,28.78
17,13.5,29.56
18,13.13,28.84
19,13.38,28.79
20,13.49,28.99
21,13.56,28.82
22,13,27.79
23,12.76,27.32
24,13.05,28.14
25,13.24,28.42
26,13.1,28.44
27,12.6,27.54
28,12.78,28.05
29,12.65,27.53
30,12.82,27.88
31,12.82,27.87
32,13.41,28.73
33,13.37,28.64
34,13.73,29.43
35,13.73,29.35
36,13.81,29.49
37,13.92,30.06
38,13.94,30.19
39,13.99,29.98
40,14.15,30.33
41,14.22,31.04
42,14.2,30.55
43,14.46,30.7
44,14.5,30.5
45,14.36,30.48
46,14.38,30.86
47,14.65,31.35
48,14.67,31.51
49,14.82,32.12
50,14.93,32.47
51,15.16,32.88
52,15.25,33.1
53,15.3,33.06
54,15.42,33.31
55,15.33,33.2
56,15.51,33.4
57,15.41,33.21
58,15.5,33.56
59,15.48,33.42
60,15.29,33.06
61,15.31,32.95
62,15.26,32.95
63,15.41,33.37
64,15.36,33.38
65,15.23,33.24
66,15.62,33.4
67,15.74,33.47
68,15.7,33.39
69,15.54,33.41
70,15.85,34.26
71,15.85,34.35
72,15.82,34.18
73,15.94,34.55
74,16.59,34.94
75,16.53,34.97
76,16.29,34.44
77,16.22,34.19
78,16.52,34.78
79,16.6,34.93
80,16.67,34.58
81,17,34.96
82,17.06,34.97
83,16.67,34.49
84,16.72,34.44
85,17.14,35.21
86,16.77,34.31
87,17.21,35.07
88,16.56,34.04
89,16.1,33.69
90,15.9,32.74
91,15.76,32.23
92,16.53,33.98
93,16.63,33.91
94,16.98,34.79
95,16.74,34.39
96,16.47,33.64
97,16.36,33.69
98,16.12,33.08
99,15.89,32.46
100,14.89,30.81
101,15.29,31.63
102,15.1,31.44
103,15.1,31.09
104,15.28,31.95
105,15.82,32.6
106,15.71,32.55
107,15.49,32.04
108,16.08,33.07
109,15.94,33.36
110,15.04,31.59
111,14.63,31.03
112,14.81,31.59
113,14.79,31.61
114,15.56,33.12
115,15.68,33.51
116,15.59,33.14
117,16.12,34.24
118,16.15,34.23
119,16.53,34.73
120,16.52,34.8
121,16.83,35.01
122,16.08,33.64
123,16.05,33.7
124,15.54,32.82
125,15.71,33.13
126,15.74,33.11
127,15.02,31.95
128,14.92,31.67
129,14.77,31.67
130,14.34,31.15
131,14.27,30.72
132,14.82,32
133,15.26,32.3
134,15.56,32.67
135,15.77,33.12
136,15.55,33.01
137,15.62,33.08
138,15.64,32.89
139,15.07,31.35
140,14.97,31.15
141,15.22,31.73
142,15.04,31.49
143,15.55,32.99
144,15.83,33.67
145,16.19,34.38
146,15.93,34.01
147,15.85,34.04
148,15.78,33.88
149,15.85,34.02
150,16.2,34.75
151,16.15,34.88
152,16.33,35.07
153,16.41,35.33
154,16.05,35.1
155,16.2,35.6
156,16.04,35.39
157,15.35,33.85
158,15.25,33.64
159,15.15,33.47
160,15.12,33.3
161,15.41,34.11
162,15.55,34.63
163,15.12,33.95
164,14.97,33.84
165,14.62,33.2
166,14.27,32.78
167,14.37,32.88
168,14.57,32.99
169,15.04,33.73
170,14.84,33.12
171,15.07,33.39
172,15.7,34.96
173,15.97,35.39
174,16.22,36.07
175,16.16,35.87
176,16.51,36.17
177,16.31,36.01
178,16.53,36.04
179,16.64,36.28
180,16.65,36.48
181,16.77,36.2
182,16.55,36.12
183,16.59,36.6
184,16.7,36.96
185,16.94,37.18
186,16.74,36.89
187,16.43,36.24
188,16.96,37.58
189,16.87,37.37
190,16.87,37.67
191,16.82,37.65
192,16.71,37.44
193,16.67,37.09
194,16.45,36.63
195,16.94,37.73
196,17.16,38.12
197,17.13,38.28
198,17.37,38.84
199,17.58,38.94
200,17.3,38.2
201,18.03,39.74
202,18.11,39.42
203,17.99,39
204,18.16,39.1
205,17.88,38.59
206,18.29,39.27
207,18.31,39.03
208,18.49,39.51
209,18.5,39.91
210,18.51,39.99
211,18.27,39.1
212,18.29,39.39
213,18.57,40.13
214,18.63,40.69
215,18.85,41.17
216,18.98,41.67
217,18.89,41.98
218,18.67,41.75
219,18.8,42.1
220,18.48,41.36
221,18.65,41.84
222,18.43,41.63
223,18.39,41.33
224,18.55,41.79
225,18.21,41.09
226,18.31,41.16
227,18.66,41.97
228,18.87,42.03
229,18.68,41.34
230,18.19,40.74
231,18.7,41.54
232,18.71,41.42
233,18.75,41.67
234,18.45,41.42
235,19.1,42.02
236,19.43,43.05
237,19.54,43.46
238,19.42,43.4
239,19.45,43.27
240,19.15,42.5
241,19.39,42.66
242,19.45,42.58
243,19.35,42.37
244,19.3,42.09
245,19.14,42.03
246,19.4,42.42
247,19.32,41.91
248,19.2,41.78
249,19.42,42.32
250,19.41,42.33
251,19.32,42.16
252,19.48,42.29
253,19.52,42.25
254,19.53,42.36
255,19.56,42.32
256,19.6,42.59
257,19.92,43.07
258,19.85,42.79
259,19.99,42.73
260,20.1,42.54
261,20.57,43.75
262,20.63,44.75
263,20.63,44.8
264,20.84,45.08
265,21.02,45.52
266,21,45.35
267,20.92,45.12
268,20.73,44.72
269,20.55,43.69
270,20.52,43.44
271,20.54,43.3
272,21.32,42.76
273,21.55,43.26
274,21.52,43.82
275,21.02,43
276,21.42,43.5
277,21.81,43.87
278,21.53,43.29
279,21.09,43.02
280,21.15,43.32
281,21.45,43.49
282,21.45,43.72
283,21.54,44.06
284,21.81,44.82
285,22.22,45.52
286,22.5,45.29
287,22.5,45.04
288,22.67,44.89
289,22.73,44.96
290,22.68,44.65
291,22.13,43.36
292,21.71,42.54
293,21.89,43.25
294,22.33,43.4
295,22.74,44.04
296,22.1,42.77
297,22.47,43.52
298,23.05,44.1
299,22.83,44.01
300,22.6,43.64
301,23.04,44.46
302,23.11,43.89
303,22.71,43.41
304,22.81,43.74
305,22.66,43.4
306,22.76,42.93
307,22.46,42.22
308,23.06,43.29
309,23.21,43.86
310,23.78,44.57
311,23.87,43.68
312,23.86,43.35
313,24.05,44.02
314,24.11,45.04
315,24.29,45.06
316,24.37,45.61
317,23.62,45.17
318,23.94,45.38
319,24.18,45.36
320,24.03,45.51
321,23.65,45.14
322,23.72,44.95
323,23.73,44.54
324,23.42,44.15
325,23.21,44.01
326,22.95,44.56
327,23.18,44.72
328,23.18,44.95
329,23.34,45.36
330,22.95,44.66
331,23.16,44.92
332,22.54,44.34
333,22.73,44.34
334,22.73,44.77
335,23.33,46.15
336,23.43,46.99
337,23.79,47.49
338,23.96,47.76
339,23.95,47.83
340,23.73,47.93
341,23.41,46.41
342,23.7,46.94
343,23.94,47.24
344,23.83,47.3
345,24.1,48.23
346,23.57,47.29
347,23.45,47.28
348,22.76,46.37
349,22.66,46.62
350,22.48,46.06
351,22.97,47.09
352,23.47,47.44
353,23.57,47.07
354,23.18,46.89
355,23.04,46.88
356,23.35,47.35
357,23.63,47.87
358,23.84,48.01
359,24.26,48.67
360,23.34,46.77
361,23.64,47.4
362,23.17,46.9
363,22.86,46.43
364,22.85,46.68
365,22.64,46.25
366,23.02,46.97
367,22.48,46.18
368,22.43,46.67
369,22.78,47.15
370,22.33,46.11
371,22.3,45.81
372,22.77,46.37
373,23.05,47.2
374,23.67,47.69
375,23.45,47.24
376,23.21,47.13
377,22.94,46.39
378,23.06,46.37
379,23.42,47.17
380,23.64,47.76
381,24.07,48.41
382,24.61,49.5
383,24.32,49.02
384,24.52,49.43
385,24.79,49.27
386,24.43,48.36
387,23.83,47.43
388,23.6,46.97
389,23.74,47.37
390,23.18,46.7
391,23.24,46.71
392,23.12,46.6
393,23.39,46.63
394,22.99,46.29
395,23.4,48.41
396,23.3,48.13
397,23.37,48.62
398,22.99,48.1
399,22.65,47.39
400,22.7,47.84
401,22.55,47.52
402,22.67,46.98
403,21.54,45.25
404,21.68,45.57
405,20.22,43.02
406,20.17,42.88
407,18.9,40.55
408,20.27,42.61
409,19.77,41.14
410,20.47,42.65
411,20.74,42.99
412,21.09,43.52
413,20.57,42.44
414,20.71,42.63
415,19.44,39.9
416,18.72,39.73
417,18.53,39.87
418,18.82,41.01
419,19.28,41.3
420,19.19,41.02
421,19.69,41.52
422,20.12,42.35
423,20.21,43.24
424,20.25,42.97
425,19.87,42.6
426,18.98,41.15
427,18.79,41.27
428,19.22,41.83
429,18.65,41.11
430,18.07,39.67
431,18.01,39.29
432,18.66,40.78
433,19.01,41.38
434,19.42,42.53
435,19.78,42.72
436,18.93,41.78
437,18.67,41.2
438,17.16,38.73
439,17.18,38.43
440,17.77,38.74
441,17.58,39.03
442,18.07,39.93
443,17.45,38.82
444,18.07,39.73
445,17.23,38.07
446,16.97,37.21
447,17.73,38.92
448,18.12,40.29
449,18.65,41.74
450,18.54,41.4
451,19.27,42.89
452,19.25,43.03
453,19.49,42.79
454,19.17,42.01
455,19.5,42.87
456,18.82,41.63
457,19.7,43.07
458,19.43,42.4
459,19.58,44.1
460,20.18,45.2
461,20.18,45.41
462,19.54,44.6
463,19.78,45.64
464,20.94,47.84
465,21.33,47.56
466,20.5,46.42
467,19.84,45.14
468,20.01,46.15
469,20.17,47.31
470,20.09,47.2
471,20.23,47.4
472,20.45,47.7
473,19.54,45.85
474,20.03,46.79
475,20.76,47.96
476,20.59,48
477,20.63,48.19
478,20.33,47.55
479,19.8,47.05
480,19.97,47.57
481,19.33,45.88
482,19.33,45.8
483,18.67,44.75
484,18.46,44.36
485,19.2,46.22
486,19.2,46.55
487,20.16,48.51
488,20.18,48.29
489,20.1,48.18
490,20.46,49.07
491,20.27,48.25
492,19.98,48.1
493,19.54,47.09
494,19.8,47.73
495,19.41,47.19
496,18.97,47
497,18.61,46.27
498,18.55,46.35
499,18.95,46.86
500,18.8,46.2
501,19.45,47.48
502,19.52,48.33
503,19.58,48.89
504,19.82,49.51
505,19.73,49.58
506,19.37,49.01
507,19.52,49.42
508,19.56,49.7
509,20.47,50.67
510,21.04,51.03
511,21.14,50.66
512,21.07,50.45
513,21.39,51.37
514,21.85,52.24
515,21.8,52.53
516,21.99,52.1
517,21.3,51.48
518,21.31,51.37
519,21.23,51.52
520,21.4,52.63
521,21.19,52.94
522,21.07,52.18
523,20.29,52.17
524,21.04,53.31
525,21.34,53.33
526,21.14,53.9
527,21.05,53.78
528,20.94,53.63
529,21.03,53.88
530,20.97,53.82
531,21.52,54.47
532,20.73,53.97
533,20.57,53.8
534,20.38,53.65
535,20.69,52.92
536,20.48,52.37
537,20.37,53.1
538,20.26,53.09
539,19.68,51.33
540,19.98,51.08
541,20.05,52.07
542,19.64,52.44
543,19.81,52.58
544,20.14,52.52
545,20.11,52.83
546,20.39,53.17
547,20.1,52.93
548,19.62,52
549,19.69,52.6
550,19.39,52.3
551,19.11,51.67
552,18.83,50.37
553,18.91,50.86
554,19.51,51.54
555,19.52,50.77
556,19.25,51.01
557,19.43,52.07
558,18.87,50.8
559,20.47,53.33
560,20.78,53.37
561,20.61,53.3
562,20.29,52.75
563,20.32,52.97
564,19.63,51.9
565,19.77,51.36
