"tm","ECG","CVP"
0,-0.14,4.781
0.003,-0.153,4.781
0.006,-0.151,4.831
0.008,-0.137,4.831
0.011,-0.131,4.88
0.014,-0.136,4.93
0.017,-0.142,5.03
0.019,-0.14,5.08
0.022,-0.132,5.03
0.025,-0.127,4.93
0.028,-0.129,4.831
0.031,-0.139,4.781
0.033,-0.147,4.781
0.036,-0.147,4.731
0.039,-0.142,4.582
0.042,-0.141,4.382
0.044,-0.143,4.183
0.047,-0.147,4.034
0.05,-0.147,3.934
0.053,-0.145,3.835
0.056,-0.143,3.635
0.058,-0.141,3.436
0.061,-0.141,3.287
0.064,-0.144,3.137
0.067,-0.147,3.038
0.069,-0.146,2.839
0.072,-0.142,2.639
0.075,-0.141,2.49
0.078,-0.143,2.341
0.081,-0.147,2.291
0.083,-0.147,2.241
0.086,-0.145,2.141
0.089,-0.142,2.042
0.092,-0.138,1.992
0.094,-0.137,1.992
0.097,-0.137,1.992
0.1,-0.142,1.992
0.103,-0.145,1.992
0.106,-0.143,1.992
0.108,-0.139,1.992
0.111,-0.138,2.092
0.114,-0.141,2.191
0.117,-0.142,2.291
0.119,-0.141,2.341
0.122,-0.137,2.291
0.125,-0.135,2.291
0.128,-0.135,2.39
0.131,-0.137,2.49
0.133,-0.138,2.49
0.136,-0.138,2.49
0.139,-0.137,2.49
0.142,-0.134,2.54
0.144,-0.133,2.59
0.147,-0.132,2.54
0.15,-0.131,2.49
0.153,-0.13,2.44
0.156,-0.128,2.44
0.158,-0.124,2.59
0.161,-0.123,2.689
0.164,-0.127,2.639
0.167,-0.131,2.639
0.169,-0.128,2.639
0.172,-0.122,2.639
0.175,-0.118,2.639
0.178,-0.12,2.639
0.181,-0.123,2.639
0.183,-0.125,2.59
0.186,-0.125,2.59
0.189,-0.122,2.639
0.192,-0.117,2.639
0.194,-0.117,2.59
0.197,-0.123,2.49
0.2,-0.129,2.39
0.203,-0.128,2.39
0.206,-0.124,2.39
0.208,-0.123,2.341
0.211,-0.123,2.241
0.214,-0.123,2.241
0.217,-0.123,2.241
0.219,-0.122,2.241
0.222,-0.118,2.141
0.225,-0.114,1.942
0.228,-0.115,1.793
0.231,-0.118,1.743
0.233,-0.119,1.743
0.236,-0.118,1.743
0.239,-0.115,1.594
0.242,-0.113,1.444
0.244,-0.112,1.345
0.247,-0.115,1.295
0.25,-0.119,1.195
0.253,-0.12,1.145
0.256,-0.116,1.145
0.258,-0.11,1.096
0.261,-0.107,1.046
0.264,-0.108,0.946
0.267,-0.112,0.896
0.269,-0.113,0.896
0.272,-0.108,0.896
0.275,-0.104,0.896
0.278,-0.105,0.896
0.281,-0.107,0.946
0.283,-0.107,0.996
0.286,-0.105,0.946
0.289,-0.103,0.946
0.292,-0.101,1.046
0.294,-0.1,1.096
0.297,-0.102,1.195
0.3,-0.104,1.345
0.303,-0.101,1.394
0.306,-0.094,1.444
0.308,-0.088,1.494
0.311,-0.087,1.643
0.314,-0.09,1.793
0.317,-0.092,1.942
0.319,-0.089,2.042
0.322,-0.084,2.191
0.325,-0.085,2.241
0.328,-0.089,2.241
0.331,-0.093,2.341
0.333,-0.092,2.49
0.336,-0.089,2.59
0.339,-0.088,2.59
0.342,-0.085,2.59
0.344,-0.084,2.689
0.347,-0.085,2.888
0.35,-0.085,2.938
0.353,-0.082,2.938
0.356,-0.077,2.839
0.358,-0.075,2.888
0.361,-0.075,3.038
0.364,-0.077,3.088
0.367,-0.082,3.038
0.369,-0.084,2.988
0.372,-0.079,2.988
0.375,-0.074,3.038
0.378,-0.072,3.137
0.381,-0.073,3.187
0.383,-0.073,3.187
0.386,-0.071,3.187
0.389,-0.07,3.187
0.392,-0.067,3.137
0.394,-0.064,3.088
0.397,-0.065,3.137
0.4,-0.07,3.187
0.403,-0.069,3.137
0.406,-0.061,3.137
0.408,-0.055,3.187
0.411,-0.055,3.287
0.414,-0.057,3.337
0.417,-0.057,3.287
0.419,-0.056,3.287
0.422,-0.056,3.337
0.425,-0.055,3.386
0.428,-0.054,3.386
0.431,-0.055,3.436
0.433,-0.057,3.436
0.436,-0.055,3.436
0.439,-0.05,3.486
0.442,-0.047,3.486
0.444,-0.05,3.536
0.447,-0.055,3.635
0.45,-0.055,3.685
0.453,-0.05,3.685
0.456,-0.044,3.685
0.458,-0.041,3.685
0.461,-0.043,3.685
0.464,-0.048,3.735
0.467,-0.05,3.735
0.469,-0.046,3.685
0.472,-0.041,3.635
0.475,-0.04,3.586
0.478,-0.042,3.586
0.481,-0.045,3.586
0.483,-0.045,3.536
0.486,-0.041,3.536
0.489,-0.04,3.635
0.492,-0.039,3.635
0.494,-0.04,3.586
0.497,-0.042,3.486
0.5,-0.046,3.536
0.503,-0.045,3.635
0.506,-0.04,3.685
0.508,-0.036,3.635
0.511,-0.039,3.586
0.514,-0.042,3.635
0.517,-0.04,3.685
0.519,-0.034,3.735
0.522,-0.031,3.735
0.525,-0.032,3.635
0.528,-0.032,3.635
0.531,-0.034,3.685
0.533,-0.035,3.785
0.536,-0.03,3.785
0.539,-0.024,3.735
0.542,-0.024,3.735
0.544,-0.031,3.685
0.547,-0.036,3.735
0.55,-0.035,3.835
0.553,-0.031,3.934
0.556,-0.029,3.984
0.558,-0.027,3.934
0.561,-0.027,3.884
0.564,-0.031,3.934
0.567,-0.033,4.034
0.569,-0.031,4.133
0.572,-0.026,4.133
0.575,-0.02,4.133
0.578,-0.019,4.084
0.581,-0.022,4.133
0.583,-0.027,4.084
0.586,-0.029,4.084
0.589,-0.027,4.034
0.592,-0.024,4.034
0.594,-0.025,4.034
0.597,-0.028,3.984
0.6,-0.03,3.984
0.603,-0.027,3.884
0.606,-0.024,3.785
0.608,-0.024,3.735
0.611,-0.026,3.685
0.614,-0.026,3.635
0.617,-0.023,3.635
0.619,-0.019,3.635
0.622,-0.018,3.635
0.625,-0.022,3.536
0.628,-0.026,3.436
0.631,-0.026,3.386
0.633,-0.023,3.486
0.636,-0.018,3.536
0.639,-0.017,3.536
0.642,-0.02,3.536
0.644,-0.024,3.586
0.647,-0.023,3.635
0.65,-0.017,3.635
0.653,-0.011,3.685
0.656,-0.011,3.735
0.658,-0.018,3.685
0.661,-0.025,3.685
0.664,-0.022,3.735
0.667,-0.012,3.835
0.669,-0.004,3.884
0.672,-0.004,3.835
0.675,-0.006,3.785
0.678,-0.005,3.835
0.681,0.004,3.984
0.683,0.031,4.034
0.686,0.08,4.034
0.689,0.141,3.984
0.692,0.204,3.984
0.694,0.272,4.034
0.697,0.338,4.034
0.7,0.385,4.034
0.703,0.415,4.084
0.706,0.456,4.034
0.708,0.545,3.984
0.711,0.704,3.984
0.714,0.934,3.984
0.717,1.209,3.934
0.719,1.492,3.884
0.722,1.744,3.934
0.725,1.906,3.984
0.728,1.883,3.984
0.731,1.616,3.984
0.733,1.176,3.934
0.736,0.721,3.884
0.739,0.344,3.934
0.742,0.03,3.934
0.744,-0.232,3.984
0.747,-0.408,4.034
0.75,-0.491,4.084
0.753,-0.522,4.133
0.756,-0.536,4.133
0.758,-0.532,4.233
0.761,-0.523,4.382
0.764,-0.526,4.482
0.767,-0.521,4.582
0.769,-0.482,4.681
0.772,-0.427,4.781
0.775,-0.4,4.93
0.778,-0.4,5.129
0.781,-0.391,5.428
0.783,-0.355,5.627
0.786,-0.31,5.827
0.789,-0.276,6.125
0.792,-0.259,6.474
0.794,-0.256,6.922
0.797,-0.264,7.371
0.8,-0.28,7.769
0.803,-0.298,8.167
0.806,-0.31,8.516
0.808,-0.311,8.865
0.811,-0.307,9.263
0.814,-0.302,9.761
0.817,-0.298,10.309
0.819,-0.3,10.757
0.822,-0.31,11.056
0.825,-0.322,11.355
0.828,-0.324,11.703
0.831,-0.319,12.151
0.833,-0.322,12.6
0.836,-0.332,12.948
0.839,-0.337,13.247
0.842,-0.339,13.496
0.844,-0.344,13.745
0.847,-0.349,14.094
0.85,-0.344,14.392
0.853,-0.335,14.592
0.856,-0.334,14.641
0.858,-0.339,14.691
0.861,-0.341,14.94
0.864,-0.343,15.239
0.867,-0.344,15.388
0.869,-0.342,15.488
0.872,-0.339,15.588
0.875,-0.34,15.687
0.878,-0.342,15.737
0.881,-0.34,15.687
0.883,-0.336,15.538
0.886,-0.334,15.339
0.889,-0.331,15.04
0.892,-0.329,14.741
0.894,-0.33,14.442
0.897,-0.334,14.143
0.9,-0.334,13.745
0.903,-0.329,13.297
0.906,-0.322,12.749
0.908,-0.322,12.251
0.911,-0.325,11.703
0.914,-0.326,11.155
0.917,-0.321,10.608
0.919,-0.313,10.01
0.922,-0.305,9.412
0.925,-0.304,8.865
0.928,-0.307,8.367
0.931,-0.31,7.918
0.933,-0.307,7.47
0.936,-0.297,7.022
0.939,-0.289,6.624
0.942,-0.287,6.175
0.944,-0.291,5.827
0.947,-0.293,5.428
0.95,-0.29,5.03
0.953,-0.284,4.532
0.956,-0.279,4.034
0.958,-0.278,3.635
0.961,-0.28,3.287
0.964,-0.28,3.038
0.967,-0.274,2.739
0.969,-0.266,2.39
